Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2009-12-28,34400,37650,37650,34100,18544597,015760,한국전력공사,1650.0,5.038167938931298
2009-12-29,34000,34500,34650,33700,3925255,015760,한국전력공사,-400.0,-1.1627906976744187
2009-12-30,34100,34200,34250,33800,2232855,015760,한국전력공사,100.0,0.29411764705882354
2010-01-04,34250,33800,34300,33800,1924201,015760,한국전력공사,150.0,0.43988269794721413
2010-01-05,34050,34150,34200,33900,2372496,015760,한국전력공사,-200.0,-0.583941605839416
2010-01-06,34000,34000,34350,33900,2462029,015760,한국전력공사,-50.0,-0.14684287812041116
2010-01-07,33800,33900,34000,33700,1903515,015760,한국전력공사,-200.0,-0.5882352941176471
2010-01-08,33800,33700,34000,33500,2643550,015760,한국전력공사,0.0,0.0
2010-01-11,34900,34050,35750,34000,10425297,015760,한국전력공사,1100.0,3.2544378698224854
2010-01-12,35650,35600,36050,35350,7486637,015760,한국전력공사,750.0,2.148997134670487
2010-01-13,36100,35600,36550,35450,6540654,015760,한국전력공사,450.0,1.262272089761571
2010-01-14,36450,36250,36700,36000,3480977,015760,한국전력공사,350.0,0.9695290858725761
2010-01-15,36300,36350,36550,36000,2381914,015760,한국전력공사,-150.0,-0.411522633744856
2010-01-18,38000,37000,38800,37000,9508004,015760,한국전력공사,1700.0,4.683195592286501
2010-01-19,40050,38350,41000,38100,9120673,015760,한국전력공사,2050.0,5.394736842105264
2010-01-20,41600,40500,42250,40400,8405178,015760,한국전력공사,1550.0,3.870162297128589
2010-01-21,41050,41100,41750,40600,5006027,015760,한국전력공사,-550.0,-1.3221153846153846
2010-01-22,41300,40400,41550,39900,5858081,015760,한국전력공사,250.0,0.6090133982947624
2010-01-25,38750,41000,41500,38150,6394106,015760,한국전력공사,-2550.0,-6.174334140435835
2010-01-26,38450,39000,39550,37800,5065440,015760,한국전력공사,-300.0,-0.7741935483870968
2010-01-27,39850,38400,40300,37900,4469057,015760,한국전력공사,1400.0,3.6410923276983094
2010-01-28,39350,40000,40100,39100,2367535,015760,한국전력공사,-500.0,-1.2547051442910917
2010-01-29,38350,38900,39300,38200,2458114,015760,한국전력공사,-1000.0,-2.5412960609911055
2010-02-01,38500,38100,39200,37750,2260096,015760,한국전력공사,150.0,0.3911342894393742
2010-02-02,38200,38800,39050,38100,1793324,015760,한국전력공사,-300.0,-0.7792207792207793
2010-02-03,37900,38600,38800,37600,1989374,015760,한국전력공사,-300.0,-0.7853403141361256
2010-02-04,39500,38600,39600,38400,4038152,015760,한국전력공사,1600.0,4.221635883905013
2010-02-05,39000,38550,39300,38300,3416055,015760,한국전력공사,-500.0,-1.2658227848101267
2010-02-08,38100,39050,39100,38050,1927641,015760,한국전력공사,-900.0,-2.307692307692308
2010-02-09,37700,37950,38200,37250,2469308,015760,한국전력공사,-400.0,-1.0498687664041995
2010-02-10,37400,37850,38200,37350,1996962,015760,한국전력공사,-300.0,-0.7957559681697612
2010-02-11,39200,38500,39300,38000,4625251,015760,한국전력공사,1800.0,4.81283422459893
2010-02-12,40400,39350,40750,39200,4168134,015760,한국전력공사,1200.0,3.061224489795918
2010-02-16,40000,40000,40500,39750,1530847,015760,한국전력공사,-400.0,-0.9900990099009901
2010-02-17,40300,40300,40900,39950,1799820,015760,한국전력공사,300.0,0.75
2010-02-18,39300,40400,40450,39250,2276805,015760,한국전력공사,-1000.0,-2.481389578163772
2010-02-19,37850,38950,39000,37850,3040411,015760,한국전력공사,-1450.0,-3.689567430025445
2010-02-22,38350,38400,38700,38300,1612108,015760,한국전력공사,500.0,1.321003963011889
2010-02-23,38550,38650,38950,38050,1178628,015760,한국전력공사,200.0,0.5215123859191656
2010-02-24,38000,38050,38450,37900,1342425,015760,한국전력공사,-550.0,-1.4267185473411155
2010-02-25,37100,38350,38350,37100,1849025,015760,한국전력공사,-900.0,-2.368421052631579
2010-02-26,37100,37100,37450,36700,1022966,015760,한국전력공사,0.0,0.0
2010-03-02,36800,37200,37350,36200,3117230,015760,한국전력공사,-300.0,-0.8086253369272237
2010-03-03,36900,37000,37400,36800,1884543,015760,한국전력공사,100.0,0.2717391304347826
2010-03-04,36700,37550,37800,36400,2172438,015760,한국전력공사,-200.0,-0.5420054200542005
2010-03-05,37100,36500,37200,36450,1466931,015760,한국전력공사,400.0,1.08991825613079
2010-03-08,37700,37450,37900,37200,1626919,015760,한국전력공사,600.0,1.6172506738544474
2010-03-09,38500,37700,39100,37450,2671257,015760,한국전력공사,800.0,2.122015915119363
2010-03-10,38350,38650,38850,38100,1672757,015760,한국전력공사,-150.0,-0.38961038961038963
2010-03-11,38450,38500,38800,38200,2116496,015760,한국전력공사,100.0,0.2607561929595828
2010-03-12,38400,38600,38850,38150,941624,015760,한국전력공사,-50.0,-0.13003901170351106
